title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking
1 BHK Apartment for Sale in Naigaon East Mumbai,₹40 Lac,368 sqft,https://www.magicbricks.com/vencel-enclave-naigaon-east-mumbai-pdpid-4d4235323038313739,1,3,2025-08-10 19:06:24.032208,Updated today,2025-08-10 12:00:00.000000,2,3,1 BHK,Semi-Furnished,2 out of 4,,Vencel Enclave,Ready to Move,,,Freehold,Resale,
2 BHK Apartment for Sale in Naigaon East Mumbai,₹45 Lac,750 sqft,https://www.magicbricks.com/mittal-enclave-naigaon-east-mumbai-pdpid-4d4235303338323535,1,4,2025-08-10 19:06:24.034708,Updated today,2025-08-10 12:00:00.000000,2,2,2 BHK,Unfurnished,6 out of 7,,Mittal Enclave,Ready to Move,North - East,,Freehold,Resale,
1 BHK Apartment for Sale in Kurla West Mumbai,₹1.02 Cr,715 sqft,https://www.magicbricks.com/premier-residences-kurla-west-mumbai-pdpid-4d4235303330323032,1,5,2025-08-10 19:06:24.036098,Updated today,2025-08-10 12:00:00.000000,2,,1 BHK,Semi-Furnished,,,Premier Residences,Ready to Move,,,,Resale,
1 BHK Apartment for Sale in Parel Mumbai,₹94 Lac,269 sqft,https://www.magicbricks.com/shree-dutta-tower-parel-mumbai-pdpid-4d4235303633333431,1,6,2025-08-10 19:06:24.037745,Updated today,2025-08-10 12:00:00.000000,1,2,1 BHK,Unfurnished,6 out of 8,,Shree Dutta Tower,Ready to Move,West,,Freehold,Resale,Main Road
2 BHK Apartment for Sale in Chembur Mumbai,₹1.75 Cr,650 sqft,https://www.magicbricks.com/vani-apartment-chembur-mumbai-pdpid-4d4235303739323031,1,8,2025-08-10 19:06:24.040302,Updated today,2025-08-10 12:00:00.000000,2,1,2 BHK,Semi-Furnished,2 out of 7,,Vani Apartment,Ready to Move,East,,Co-operative Society,Resale,Main Road
1 BHK Apartment for Sale in Vasai Mumbai,₹40 Lac,610 sqft,https://www.magicbricks.com/evershine-city-vasai-mumbai-pdpid-4d4235303330363935,1,9,2025-08-10 19:06:24.041759,Posted:   Yesterday,2025-08-09 12:00:00.000000,1,,1 BHK,Furnished,5 out of 7,,Evershine City,Ready to Move,,,Freehold,Resale,
1 BHK Apartment for Sale in Powai Mumbai,₹1.90 Cr,390 sqft,https://www.magicbricks.com/hiranandani-highland-powai-mumbai-pdpid-4d4235333139313139,1,10,2025-08-10 19:06:24.043159,Updated today,2025-08-10 12:00:00.000000,2,,1 BHK,Semi-Furnished,6 out of 23,,Hiranandani Highland,Ready to Move,,,,New Property,"Garden/Park, Main Road"
1 BHK Apartment for Sale in Vatsalabai Naik Nagar Mumbai,₹42 Lac,270 sqft,https://www.magicbricks.com/mass-metropolis-vatsalabai-naik-nagar-mumbai-pdpid-4d4235313030333331,1,12,2025-08-10 19:06:24.046676,Updated today,2025-08-10 12:00:00.000000,2,,1 BHK,Semi-Furnished,13 out of 18,,Mass Metropolis,Ready to Move,East,,Freehold,New Property,Main Road
2 BHK Apartment for Sale in Kanjurmarg East Mumbai,₹1.50 Cr,625 sqft,https://www.magicbricks.com/rna-ng-royal-park-kanjurmarg-east-mumbai-pdpid-4d4235303138393332,1,14,2025-08-10 19:06:24.050270,Updated 16 hours ago,2025-08-10 03:06:24.049036,2,,2 BHK,Unfurnished,5 out of 15,,RNA NG Royal Park,Ready to Move,East,,Freehold,Resale,Garden/Park
2 BHK Apartment for Sale in Matunga East Mumbai,₹2.15 Cr,430 sqft,https://www.magicbricks.com/hubtown-harmony-matunga-east-mumbai-pdpid-4d4235303630383431,1,16,2025-08-10 19:06:24.053099,Updated 16 hours ago,2025-08-10 03:06:24.051926,2,1,2 BHK,Unfurnished,4 out of 17,,Hubtown Harmony,Ready to Move,,,,Resale,
2 BHK Apartment for Sale in Girgaon Mumbai,₹3.90 Cr,810 sqft,https://www.magicbricks.com/vijay-chambers-girgaon-mumbai-pdpid-4d4235343032373031,1,17,2025-08-10 19:06:24.054769,Updated 16 hours ago,2025-08-10 03:06:24.053750,2,,2 BHK,Furnished,6 out of 11,,Vijay Chambers,Ready to Move,North,2 Open,Freehold,Resale,Main Road
2 BHK Apartment for Sale in Vile Parle West Mumbai,₹3.50 Cr,805 sqft,https://www.magicbricks.com/shankar-mahal-vile-parle-west-mumbai-pdpid-4d4235303638383838,1,18,2025-08-10 19:06:24.056305,Updated 16 hours ago,2025-08-10 03:06:24.055349,2,,2 BHK,Semi-Furnished,5 out of 7,,Shankar Mahal,Ready to Move,,,Co-operative Society,New Property,Main Road
1 BHK Apartment for Sale in Chembur Mumbai,₹1.05 Cr,625 sqft,https://www.magicbricks.com/spenta-altavista-chembur-mumbai-pdpid-4d4235303733313932,1,21,2025-08-10 19:06:24.059295,Updated 15 hours ago,2025-08-10 04:06:24.058171,1,,1 BHK,Unfurnished,6 out of 15,,Spenta Altavista,Ready to Move,East,,Co-operative Society,Resale,Garden/Park
3 BHK Apartment for Sale in Dattapada Mumbai,₹5.50 Cr,1193 sqft,https://www.magicbricks.com/oberoi-sky-city-dattapada-mumbai-pdpid-4d4235303836303834,1,23,2025-08-10 19:06:24.061514,Updated 15 hours ago,2025-08-10 04:06:24.060477,3,,3 BHK,Unfurnished,25 out of 61,,Oberoi Sky City,Ready to Move,East,2 Covered,Freehold,Resale,"Garden/Park, Main Road"
1 BHK Apartment for Sale in Kandivali West Mumbai,₹1.20 Cr,426 sqft,https://www.magicbricks.com/sethia-kalpavruksh-heights-kandivali-west-mumbai-pdpid-4d4235303835333333,1,24,2025-08-10 19:06:24.063048,Updated 15 hours ago,2025-08-10 04:06:24.062062,2,,1 BHK,Furnished,19 out of 23,,Sethia Kalpavruksh Heights,Ready to Move,North,,Freehold,New Property,Main Road
1 BHK Apartment for Sale in Bhandup East Mumbai,₹1 Cr,450 sqft,https://www.magicbricks.com/pariwar-chs-bhandup-east-mumbai-pdpid-4d4235303436383239,1,25,2025-08-10 19:06:24.064623,Updated today,2025-08-10 12:00:00.000000,1,,1 BHK,Furnished,4 out of 14,,Pariwar CHS,Ready to Move,East,,Freehold,Resale,Garden/Park
1 BHK Apartment for Sale in Borivali West Mumbai,₹1.35 Cr,444 sqft,https://www.magicbricks.com/acharya-aashram-borivali-west-mumbai-pdpid-4d4235333933363835,1,26,2025-08-10 19:06:24.066094,Updated today,2025-08-10 12:00:00.000000,2,,1 BHK,Furnished,15 out of 15,,Acharya Aashram,Ready to Move,East,,,Resale,Main Road
1 BHK Apartment for Sale in Powai Mumbai,₹2 Cr,380 sqft,https://www.magicbricks.com/hiranandani-highland-powai-mumbai-pdpid-4d4235333139313139,1,28,2025-08-10 19:06:24.068399,Updated 14 hours ago,2025-08-10 05:06:24.067358,2,,1 BHK,Semi-Furnished,11 out of 22,,Hiranandani Highland,Ready to Move,West,,Freehold,Resale,Main Road
